"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","MONTH",
4945.00,895.00,"F9",20436,"Frontier Airlines Inc.",13204,"MCO","Orlando, FL","FL",11042,"CLE","Cleveland, OH","OH",6,
4947.00,861.00,"AA",19805,"American Airlines Inc.",14100,"PHL","Philadelphia, PA","PA",13204,"MCO","Orlando, FL","FL",6,
4948.00,442.00,"WN",19393,"Southwest Airlines Co.",14492,"RDU","Raleigh/Durham, NC","NC",10693,"BNA","Nashville, TN","TN",6,
4953.00,323.00,"WN",19393,"Southwest Airlines Co.",11259,"DAL","Dallas, TX","TX",10279,"AMA","Amarillo, TX","TX",6,
4953.00,224.00,"MQ",20398,"Envoy Air",12266,"IAH","Houston, TX","TX",11298,"DFW","Dallas/Fort Worth, TX","TX",6,
4958.00,991.00,"UA",19977,"United Air Lines Inc.",11292,"DEN","Denver, CO","CO",14057,"PDX","Portland, OR","OR",6,
4964.00,2496.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",10721,"BOS","Boston, MA","MA",6,
4976.00,1185.00,"B6",20409,"JetBlue Airways",10721,"BOS","Boston, MA","MA",15304,"TPA","Tampa, FL","FL",6,
4977.00,516.00,"DL",19790,"Delta Air Lines Inc.",10397,"ATL","Atlanta, GA","GA",13931,"ORF","Norfolk, VA","VA",6,
4981.00,277.00,"WN",19393,"Southwest Airlines Co.",14576,"ROC","Rochester, NY","NY",10821,"BWI","Baltimore, MD","MD",6,
4982.00,129.00,"AS",19930,"Alaska Airlines Inc.",14057,"PDX","Portland, OR","OR",14747,"SEA","Seattle, WA","WA",6,
4985.00,335.00,"OH",20397,"PSA Airlines Inc.",11057,"CLT","Charlotte, NC","NC",11193,"CVG","Cincinnati, OH","KY",6,
4993.00,554.00,"DL",19790,"Delta Air Lines Inc.",10397,"ATL","Atlanta, GA","GA",11042,"CLE","Cleveland, OH","OH",6,
5001.00,1189.00,"F9",20436,"Frontier Airlines Inc.",13204,"MCO","Orlando, FL","FL",14843,"SJU","San Juan, PR","PR",6,
5002.00,834.00,"WN",19393,"Southwest Airlines Co.",14122,"PIT","Pittsburgh, PA","PA",13204,"MCO","Orlando, FL","FL",6,
5005.00,2475.00,"AA",19805,"American Airlines Inc.",12478,"JFK","New York, NY","NY",12892,"LAX","Los Angeles, CA","CA",6,
5007.00,859.00,"DL",19790,"Delta Air Lines Inc.",10529,"BDL","Hartford, CT","CT",10397,"ATL","Atlanta, GA","GA",6,
5008.00,1290.00,"WN",19393,"Southwest Airlines Co.",14122,"PIT","Pittsburgh, PA","PA",11292,"DEN","Denver, CO","CO",6,
5010.00,978.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",14908,"SNA","Santa Ana, CA","CA",6,
5010.00,1158.00,"AA",19805,"American Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX","TX",14524,"RIC","Richmond, VA","VA",6,
5017.00,337.00,"WN",19393,"Southwest Airlines Co.",12892,"LAX","Los Angeles, CA","CA",13796,"OAK","Oakland, CA","CA",6,
5022.00,1036.00,"WN",19393,"Southwest Airlines Co.",14683,"SAT","San Antonio, TX","TX",13232,"MDW","Chicago, IL","IL",6,
5025.00,1046.00,"B6",20409,"JetBlue Airways",14843,"SJU","San Juan, PR","PR",11697,"FLL","Fort Lauderdale, FL","FL",6,
5033.00,296.00,"WN",19393,"Southwest Airlines Co.",11259,"DAL","Dallas, TX","TX",12992,"LIT","Little Rock, AR","AR",6,
5033.00,356.00,"WN",19393,"Southwest Airlines Co.",14492,"RDU","Raleigh/Durham, NC","NC",10397,"ATL","Atlanta, GA","GA",6,
5043.00,1452.00,"UA",19977,"United Air Lines Inc.",12264,"IAD","Washington, DC","VA",11292,"DEN","Denver, CO","CO",6,
5046.00,957.00,"DL",19790,"Delta Air Lines Inc.",11433,"DTW","Detroit, MI","MI",13204,"MCO","Orlando, FL","FL",6,
5047.00,1620.00,"WN",19393,"Southwest Airlines Co.",12953,"LGA","New York, NY","NY",11292,"DEN","Denver, CO","CO",6,
5052.00,3784.00,"AA",19805,"American Airlines Inc.",12173,"HNL","Honolulu, HI","HI",11298,"DFW","Dallas/Fort Worth, TX","TX",6,
5058.00,983.00,"DL",19790,"Delta Air Lines Inc.",11433,"DTW","Detroit, MI","MI",15304,"TPA","Tampa, FL","FL",6,
5059.00,319.00,"WN",19393,"Southwest Airlines Co.",11259,"DAL","Dallas, TX","TX",13158,"MAF","Midland/Odessa, TX","TX",6,
5071.00,526.00,"DL",19790,"Delta Air Lines Inc.",10397,"ATL","Atlanta, GA","GA",14122,"PIT","Pittsburgh, PA","PA",6,
5072.00,479.00,"WN",19393,"Southwest Airlines Co.",14057,"PDX","Portland, OR","OR",14893,"SMF","Sacramento, CA","CA",6,
5075.00,335.00,"OH",20397,"PSA Airlines Inc.",11193,"CVG","Cincinnati, OH","KY",11057,"CLT","Charlotte, NC","NC",6,
5076.00,314.00,"WN",19393,"Southwest Airlines Co.",11042,"CLE","Cleveland, OH","OH",10821,"BWI","Baltimore, MD","MD",6,
5081.00,259.00,"DL",19790,"Delta Air Lines Inc.",10994,"CHS","Charleston, SC","SC",10397,"ATL","Atlanta, GA","GA",6,
5082.00,602.00,"UA",19977,"United Air Lines Inc.",11292,"DEN","Denver, CO","CO",14107,"PHX","Phoenix, AZ","AZ",6,
5093.00,516.00,"DL",19790,"Delta Air Lines Inc.",13931,"ORF","Norfolk, VA","VA",10397,"ATL","Atlanta, GA","GA",6,
5097.00,920.00,"AA",19805,"American Airlines Inc.",14100,"PHL","Philadelphia, PA","PA",15304,"TPA","Tampa, FL","FL",6,
5099.00,2398.00,"UA",19977,"United Air Lines Inc.",14771,"SFO","San Francisco, CA","CA",12173,"HNL","Honolulu, HI","HI",6,
5108.00,1747.00,"DL",19790,"Delta Air Lines Inc.",12889,"LAS","Las Vegas, NV","NV",10397,"ATL","Atlanta, GA","GA",6,
5108.00,1172.00,"AA",19805,"American Airlines Inc.",12264,"IAD","Washington, DC","VA",11298,"DFW","Dallas/Fort Worth, TX","TX",6,
5111.00,323.00,"WN",19393,"Southwest Airlines Co.",10279,"AMA","Amarillo, TX","TX",11259,"DAL","Dallas, TX","TX",6,
5114.00,756.00,"WN",19393,"Southwest Airlines Co.",10423,"AUS","Austin, TX","TX",10693,"BNA","Nashville, TN","TN",6,
5120.00,862.00,"UA",19977,"United Air Lines Inc.",12892,"LAX","Los Angeles, CA","CA",11292,"DEN","Denver, CO","CO",6,
5123.00,391.00,"F9",20436,"Frontier Airlines Inc.",11292,"DEN","Denver, CO","CO",14869,"SLC","Salt Lake City, UT","UT",6,
5124.00,399.00,"AA",19805,"American Airlines Inc.",10721,"BOS","Boston, MA","MA",11278,"DCA","Washington, DC","VA",6,
5128.00,869.00,"WN",19393,"Southwest Airlines Co.",15016,"STL","St. Louis, MO","MO",15304,"TPA","Tampa, FL","FL",6,
5128.00,2092.00,"DL",19790,"Delta Air Lines Inc.",10397,"ATL","Atlanta, GA","GA",14893,"SMF","Sacramento, CA","CA",6,
5129.00,859.00,"DL",19790,"Delta Air Lines Inc.",10397,"ATL","Atlanta, GA","GA",10529,"BDL","Hartford, CT","CT",6,
5131.00,427.00,"YX",20452,"Republic Airline",12339,"IND","Indianapolis, IN","IN",11057,"CLT","Charlotte, NC","NC",6,
5137.00,1076.00,"NK",20416,"Spirit Air Lines",11697,"FLL","Fort Lauderdale, FL","FL",12953,"LGA","New York, NY","NY",6,
5142.00,532.00,"DL",19790,"Delta Air Lines Inc.",14893,"SMF","Sacramento, CA","CA",14869,"SLC","Salt Lake City, UT","UT",6,
5151.00,2329.00,"WN",19393,"Southwest Airlines Co.",10821,"BWI","Baltimore, MD","MD",12892,"LAX","Los Angeles, CA","CA",6,
5153.00,427.00,"YX",20452,"Republic Airline",11057,"CLT","Charlotte, NC","NC",12339,"IND","Indianapolis, IN","IN",6,
5156.00,2139.00,"DL",19790,"Delta Air Lines Inc.",14771,"SFO","San Francisco, CA","CA",10397,"ATL","Atlanta, GA","GA",6,
5159.00,283.00,"WN",19393,"Southwest Airlines Co.",10821,"BWI","Baltimore, MD","MD",10529,"BDL","Hartford, CT","CT",6,
5167.00,825.00,"WN",19393,"Southwest Airlines Co.",13495,"MSY","New Orleans, LA","LA",13232,"MDW","Chicago, IL","IL",6,
5169.00,328.00,"WN",19393,"Southwest Airlines Co.",10140,"ABQ","Albuquerque, NM","NM",14107,"PHX","Phoenix, AZ","AZ",6,
5170.00,612.00,"AA",19805,"American Airlines Inc.",13930,"ORD","Chicago, IL","IL",11278,"DCA","Washington, DC","VA",6,
5173.00,281.00,"WN",19393,"Southwest Airlines Co.",10821,"BWI","Baltimore, MD","MD",10792,"BUF","Buffalo, NY","NY",6,
5173.00,1127.00,"DL",19790,"Delta Air Lines Inc.",11697,"FLL","Fort Lauderdale, FL","FL",11433,"DTW","Detroit, MI","MI",6,
5179.00,373.00,"WN",19393,"Southwest Airlines Co.",14893,"SMF","Sacramento, CA","CA",12892,"LAX","Los Angeles, CA","CA",6,
5180.00,377.00,"WN",19393,"Southwest Airlines Co.",13296,"MHT","Manchester, NH","NH",10821,"BWI","Baltimore, MD","MD",6,
5185.00,277.00,"WN",19393,"Southwest Airlines Co.",10821,"BWI","Baltimore, MD","MD",14576,"ROC","Rochester, NY","NY",6,
5190.00,526.00,"DL",19790,"Delta Air Lines Inc.",14122,"PIT","Pittsburgh, PA","PA",10397,"ATL","Atlanta, GA","GA",6,
5196.00,634.00,"WN",19393,"Southwest Airlines Co.",15016,"STL","St. Louis, MO","MO",11481,"ECP","Panama City, FL","FL",6,
5206.00,409.00,"OO",20304,"SkyWest Airlines Inc.",10693,"BNA","Nashville, TN","TN",13930,"ORD","Chicago, IL","IL",6,
5207.00,368.00,"WN",19393,"Southwest Airlines Co.",14869,"SLC","Salt Lake City, UT","UT",12889,"LAS","Las Vegas, NV","NV",6,
5209.00,646.00,"AA",19805,"American Airlines Inc.",10257,"ALB","Albany, NY","NY",11057,"CLT","Charlotte, NC","NC",6,
5212.00,675.00,"WN",19393,"Southwest Airlines Co.",10693,"BNA","Nashville, TN","TN",14100,"PHL","Philadelphia, PA","PA",6,
5229.00,1069.00,"WN",19393,"Southwest Airlines Co.",14683,"SAT","San Antonio, TX","TX",12889,"LAS","Las Vegas, NV","NV",6,
5231.00,1158.00,"AA",19805,"American Airlines Inc.",14524,"RIC","Richmond, VA","VA",11298,"DFW","Dallas/Fort Worth, TX","TX",6,
5234.00,1747.00,"WN",19393,"Southwest Airlines Co.",10397,"ATL","Atlanta, GA","GA",12889,"LAS","Las Vegas, NV","NV",6,
5240.00,337.00,"WN",19393,"Southwest Airlines Co.",13796,"OAK","Oakland, CA","CA",12892,"LAX","Los Angeles, CA","CA",6,
5240.00,373.00,"WN",19393,"Southwest Airlines Co.",12892,"LAX","Los Angeles, CA","CA",14893,"SMF","Sacramento, CA","CA",6,
5241.00,738.00,"WN",19393,"Southwest Airlines Co.",15016,"STL","St. Louis, MO","MO",10821,"BWI","Baltimore, MD","MD",6,
5249.00,829.00,"WN",19393,"Southwest Airlines Co.",12339,"IND","Indianapolis, IN","IN",13204,"MCO","Orlando, FL","FL",6,
5252.00,909.00,"UA",19977,"United Air Lines Inc.",11292,"DEN","Denver, CO","CO",14893,"SMF","Sacramento, CA","CA",6,
5261.00,259.00,"DL",19790,"Delta Air Lines Inc.",10397,"ATL","Atlanta, GA","GA",10994,"CHS","Charleston, SC","SC",6,
5264.00,1089.00,"AA",19805,"American Airlines Inc.",12478,"JFK","New York, NY","NY",13303,"MIA","Miami, FL","FL",6,
5267.00,1747.00,"WN",19393,"Southwest Airlines Co.",12889,"LAS","Las Vegas, NV","NV",10397,"ATL","Atlanta, GA","GA",6,
5271.00,1590.00,"WN",19393,"Southwest Airlines Co.",12889,"LAS","Las Vegas, NV","NV",12339,"IND","Indianapolis, IN","IN",6,
5272.00,1127.00,"NK",20416,"Spirit Air Lines",11697,"FLL","Fort Lauderdale, FL","FL",11433,"DTW","Detroit, MI","MI",6,
5273.00,837.00,"WN",19393,"Southwest Airlines Co.",15304,"TPA","Tampa, FL","FL",12339,"IND","Indianapolis, IN","IN",6,
5279.00,1476.00,"F9",20436,"Frontier Airlines Inc.",11292,"DEN","Denver, CO","CO",11278,"DCA","Washington, DC","VA",6,
5282.00,612.00,"AA",19805,"American Airlines Inc.",11278,"DCA","Washington, DC","VA",13930,"ORD","Chicago, IL","IL",6,
5283.00,639.00,"WN",19393,"Southwest Airlines Co.",11292,"DEN","Denver, CO","CO",15376,"TUS","Tucson, AZ","AZ",6,
5286.00,587.00,"WN",19393,"Southwest Airlines Co.",10693,"BNA","Nashville, TN","TN",10821,"BWI","Baltimore, MD","MD",6,
5292.00,280.00,"AA",19805,"American Airlines Inc.",14100,"PHL","Philadelphia, PA","PA",10721,"BOS","Boston, MA","MA",6,
5292.00,1069.00,"WN",19393,"Southwest Airlines Co.",12889,"LAS","Las Vegas, NV","NV",14683,"SAT","San Antonio, TX","TX",6,
5294.00,185.00,"OH",20397,"PSA Airlines Inc.",11057,"CLT","Charlotte, NC","NC",12323,"ILM","Wilmington, NC","NC",6,
5298.00,365.00,"WN",19393,"Southwest Airlines Co.",15376,"TUS","Tucson, AZ","AZ",12889,"LAS","Las Vegas, NV","NV",6,
5302.00,472.00,"WN",19393,"Southwest Airlines Co.",10994,"CHS","Charleston, SC","SC",10821,"BWI","Baltimore, MD","MD",6,
5303.00,2677.00,"AS",19930,"Alaska Airlines Inc.",14747,"SEA","Seattle, WA","WA",12173,"HNL","Honolulu, HI","HI",6,
5304.00,157.00,"OH",20397,"PSA Airlines Inc.",11057,"CLT","Charlotte, NC","NC",13577,"MYR","Myrtle Beach, SC","SC",6,
5305.00,337.00,"WN",19393,"Southwest Airlines Co.",10821,"BWI","Baltimore, MD","MD",11066,"CMH","Columbus, OH","OH",6,
5306.00,580.00,"WN",19393,"Southwest Airlines Co.",11259,"DAL","Dallas, TX","TX",10140,"ABQ","Albuquerque, NM","NM",6,
